UI_20150317_000001	{@st41b}可以跟各職業大師{nl}學習特性。{/}
UI_20150317_000460	{@st59b}公開組隊目錄{nl}{@st59s} - 確認伺服器內公開的組隊目錄，加入想要加入的組隊。{nl} - 使用檢索選項，可檢索想要條件的組隊。{/}
UI_20150317_000461	{@st59}關閉組隊目錄。{/}
UI_20150317_000462	使用檢索選項
UI_20150317_000463	任務共有
UI_20150317_000464	經驗值分配規則
UI_20150317_000465	道具分配規則
UI_20150317_000466	{@st43}邀請
UI_20150317_000467	{@st41b}邀請{/}
UI_20150317_000468	{s18}{ol}{gr gradation1}登出 PC 規則{/}
UI_20150317_000469	{ol}規則套用條件
UI_20150317_000470	{ol}規則套用動作
UI_20150317_000471	輸入規則名稱。
UI_20150317_000472	{gr gradation1}登錄{/}
UI_20150317_000473	登錄規則。
UI_20150317_000474	{gr gradation1}取消{/}
UI_20150317_000475	取消作業。
UI_20150317_000476	{@st43}寵物情報
UI_20150317_000477	{@st59b}寵物情報{nl}{@st59s} - 利用休眠/活動按鍵可以放入或是取出寵物。{nl} - 可利用寵物的特性、道具穿戴訂做寵物。{/}
UI_20150317_000478	{@st59}關閉寵物情報。{/}
UI_20150317_000479	{@st41b}名字：{@sti9}%s{/}
UI_20150317_000480	和{@sti9}%s{@st41b}的親密度：{@sti9}%s {@st41b}等級{/}
UI_20150317_000481	{@st41b}經驗值{/}
UI_20150317_000482	{@st41b}耐力{/}
UI_20150317_000483	{@st41b}親密度{/}
UI_20150317_000484	{@st41b}特性及情報
UI_20150317_000485	{@st43}寵物{/}
UI_20150317_000486	{@st59b}寵物{nl}{@st59s} - 在目錄上點擊想要的項目可查看詳細情報。{/}
UI_20150317_000487	{@st59}關閉寵物。{/}
UI_20150317_000488	{@st59}關閉小幫手視窗。{/}
UI_20150317_000489	{@st59}小幫手{nl} - 詳細查看小幫手{nl} - 如果要查看其它項目可在小幫手目錄上選擇。{/}
UI_20150317_000490	{@st43}小幫手{/}
UI_20150317_000491	小幫手標題
UI_20150317_000492	{ol}{#AAAA00}{s16}進行時間：%s
UI_20150317_000493	{@st43}毒藥水{/}
UI_20150317_000494	{@st59}關閉毒藥水 UI。{/}
UI_20150317_000495	{@st59}需要編制{/}
UI_20150317_000496	毒量：%s
UI_20150317_000497	可以使用在製毒的道具
UI_20150317_000498	全選
UI_20150317_000499	再點擊一次取消全選
UI_20150317_000500	製造
UI_20150317_000501	混合又混合攪拌再混合
UI_20150317_000502	{@st43}項目{/}
UI_20150317_000503	{@st43}我{/}
UI_20150317_000504	{@st43}對象{/}
UI_20150317_000505	{@st43}等級{/}
UI_20150317_000506	{@st43}持有金額{/}
UI_20150317_000507	{@st43}等級{/}
UI_20150317_000508	{@st43}PvP勝率{/}
UI_20150317_000509	{@st59}關閉視窗。{/}
UI_20150317_000510	{@sti5}總購買金額：%s{/}
UI_20150317_000511	{@sti5}總金額：%s{/}
UI_20150317_000512	{@st41b}購買
UI_20150317_000513	{@st43}獲得製作道具材料！
UI_20150317_000514	{@st43}巨作{/}
UI_20150317_000515	{@st41}全部刪除
UI_20150317_000516	{@st42}鍊金對象 {@stx1}(%s 需要){/}
UI_20150317_000517	{@st41}合成
UI_20150317_000518	{@st43}任務{/}
UI_20150317_000519	{@st59b}任務{nl}{@st59s} - 獲得任務時會登錄在任務指數。{nl} - 主線任務顯示黃色、支線任務顯示藍色。{nl} - 以角色腳底的箭頭顯示任務位置。{nl} - 完成任務時會在任務提示上顯示返回圖示。{nl}  (點擊空白鍵或是滑鼠會瞬間移動至完成NPC身邊。){nl} - 在任務提示上登錄/解除時，可勾選任務名稱。{/}
UI_20150317_000520	{@st41b}  進行  {/}
UI_20150317_000521	{@st41b}  放棄  {/}
UI_20150317_000522	{@st43}{s22}任務情報{/}
UI_20150317_000523	任務完成
UI_20150317_000524	{@st41}完成{/}
UI_20150317_000525	任務進行情報
UI_20150317_000526	{s18}{ol}任務情報
UI_20150317_000527	{s16}剩餘時間
UI_20150317_000528	使用任務道具
UI_20150317_000529	任務提示
UI_20150317_000530	{@st41}確認{/}
UI_20150317_000531	{@st43}{s22}完成任務{/}
UI_20150317_000532	{@st41b}完成{/}
UI_20150317_000533	{@st41}接受{/}
UI_20150317_000534	{@st41}拒絕{/}
UI_20150317_000535	{@st44}返回{/}
UI_20150317_000536	您要返回到那一個任務？
UI_20150317_000537	{@st41b}任務類別名稱{/}
UI_20150317_000538	{@st59}擴張欄位{/}
UI_20150317_000539	{@st59}縮減欄位{/}
UI_20150317_000540	{@st59}召喚寵物{/}
UI_20150317_000541	{@st44}選單{/}
UI_20150317_000542	{@st60}選擇角色{/}
UI_20150317_000543	{@st60}登出{/}
UI_20150317_000544	{@st60}結束遊戲{/}
UI_20150317_000545	{@st60}遊戲設定{/}
UI_20150317_000546	{@st60}返回{/}
UI_20150317_000547	{@st41}略過新手教學{/}
UI_20150317_000548	{@st41}選擇角色{/}
UI_20150317_000549	{@st41}登出{/}
UI_20150317_000550	{@st41}結束遊戲{/}
UI_20150317_000551	{@st41}返回{/}
UI_20150317_000552	{@st43}{s22}遠征隊召募！
UI_20150317_000553	{@st41b}怪物們正湧到城市外圍城牆，只你可以解決問題。
UI_20150317_000554	{@st43}{s22}遊戲設定{/}
UI_20150317_000555	{@sti7}遠征隊檢索中..{/}
UI_20150317_000556	{@st41b}取消參加
UI_20150317_000557	{@st41b}我來解決！
UI_20150317_000558	{@st41b}我好像會很辛苦…
UI_20150317_000559	{@sti7}{s24}選擇遠征隊獎勵{/}
UI_20150317_000560	{@st42b}剩餘時間 {@st43}%s{@st42b} 秒{/}
UI_20150317_000561	{@st41b}選擇次數增加
UI_20150317_000562	{@43b}{s22}可選擇次數：{@st43}%s{/}
UI_20150317_000563	shadow_box 暫時移除
UI_20150317_000564	{@st43}排名{/}
UI_20150317_000565	{@st59}關閉排名視窗。{/}
UI_20150317_000566	{@st41}怪物擊殺 Top 100{/}
UI_20150317_000567	{@st41}傷害 Top 100{/}
UI_20150317_000568	{@st41}money money Top 100{/}
UI_20150317_000569	{@st41}升級 Top 100{/}
UI_20150317_000570	{@st41b}選單{/}
UI_20150317_000571	{@st43}{s22}強化道具{/}
UI_20150317_000572	{@st41b}目標道具
UI_20150317_000573	{@st41b}鐵砧
UI_20150317_000574	{@st41}{s20}全部打擊次數：{@st43} %s
UI_20150317_000575	{@st41}{s20}強化價格：%s
UI_20150317_000576	{@st41b}開始強化{/}
UI_20150317_000577	{@st59}道具強化開始。{/}
UI_20150317_000578	{@st59}關閉強化。{/}
UI_20150317_000579	{@st41b}您要以選擇的 {@sti9}%s個{/} 道具進行強化嗎？{/}
UI_20150317_000580	{@st43}強化
UI_20150317_000581	{@st44}道具強化{/}
UI_20150317_000582	{s24}{b}{#000000}強化完成！
UI_20150317_000583	{@st41}再強化{/}
UI_20150317_000584	{@st41}關閉{/}
UI_20150317_000585	{s18}{ol}{gr gradation1}修理裝備{/}
UI_20150317_000586	  穿戴裝備  
UI_20150317_000587	  所持裝備  
UI_20150317_000588	{gr gradation1}選擇全體{/}
UI_20150317_000589	選擇全體
UI_20150317_000590	{gr gradation1}修理{/}
UI_20150317_000591	{@st43}修理{/}
UI_20150317_000592	修理需要道具目錄
UI_20150317_000593	{@st41b}修理費用{/}
UI_20150317_000594	{@st41b}預計餘額{/}
UI_20150317_000595	{@st41b}修理裝備{/}
UI_20150317_000596	修理選擇的裝備。
UI_20150317_000597	{@st59}關閉道具裝備{/}
UI_20150317_000598	{@st43}道具整頓{/}
UI_20150317_000599	{@st41}需要整頓的道具目錄{/}
UI_20150317_000600	{@st44}道具整頓{/}
UI_20150317_000601	{@st42}整頓{/}
UI_20150317_000602	{@st59}整頓成目前內容。{/}
UI_20150317_000603	{@st59}不進行整頓。{/}
UI_20150317_000604	{@st44}重新開始{/}
UI_20150317_000605	{@st41b}您已經變成 {/}{s20}{#cc6600}{ol}不能戰鬥 {/}{@st41b}的狀態了！{/}
UI_20150317_000606	{@st41b}在鄰近的復活據點重新開始{/}
UI_20150317_000607	{@st41b}在原始重新開始(需要NXP %s個){/}
UI_20150317_000608	{@st41b}回到野外{/}
UI_20150317_000609	{@st41b}放棄任務澓重新開始{/}
UI_20150317_000610	{@st41b}重新挑戰{/}
UI_20150317_000611	復活聖所(70031)
UI_20150317_000612	需要道具。
UI_20150317_000613	休息快捷欄
UI_20150317_000614	{@st43}對方框{/}
UI_20150317_000615	臨時名稱
UI_20150317_000616	{@st41b}{s18}背包空間不足
UI_20150317_000617	背包已滿，無法再獲得道具。{nl}請整理背包。
UI_20150317_000618	{@st44}獲得組合道具！{/}
UI_20150317_000619	請選擇道具。
UI_20150317_000620	{@st59b}商店{nl}{@st59s} - 如果要大量購買道具，點擊滑鼠右鍵後輸入數量。{nl} - 如果要販賣全部數量的道具，雙點擊滑鼠右鍵。{/}
UI_20150317_000621	{@st59}關閉商店。{/}
UI_20150317_000622	{@st59}起始頁面{/}
UI_20150317_000623	{@st59}下一頁{/}
UI_20150317_000624	{@st59}結束頁面{/}
UI_20150317_000625	{@st41b}清空{/}
UI_20150317_000626	{@st59}清空購物車。{/}
UI_20150317_000627	{@st41b}結算{/}
UI_20150317_000628	{@st59}決定交易。{/}
UI_20150317_000629	{@st43}商店{/}
UI_20150317_000630	{@st41b}購入道具{/}
UI_20150317_000631	{@st41b}販賣道具{/}
UI_20150317_000632	{@st41b}交易結算 ▶{/}
UI_20150317_000633	{@st41b}預計餘額 ▶{/}
UI_20150317_000634	{@st41b}我販賣的道具{/}
UI_20150317_000635	{@st41}清空欄位{/}
UI_20150317_000636	{@st43}結算{/}
UI_20150317_000637	{@st41}交易結算{/}
UI_20150317_000638	{@st41}預計餘額{/}
UI_20150317_000639	{@st41}購入道具{/}
UI_20150317_000640	{@sti1c}聖物買賣
UI_20150317_000641	{@st41}製作技能
UI_20150317_000642	{@st42}等級 %s{/}
UI_20150317_000643	製作費用
UI_20150317_000644	製作數量
UI_20150317_000645	約需 %s秒
UI_20150317_000646	{@st41}製作
UI_20150317_000647	{@st43}職業技能和特性{/}
UI_20150317_000648	{@st59}關閉職業和技能{/}
UI_20150317_000649	{@st59b}職業{nl}{@st59s} - 使職業的階成長，並學習該職業的技能。{nl} - 從第1次職業要轉職到第2次職業時，有3個職業可以選擇。{nl} -  相同的職業總共可以轉職３次。{nl} -  轉職為其它職業時，不能轉職到之前的職業。{nl} -  技能點數全部消耗時可轉職。{nl} - 也可以選擇相同的職業。{nl}{@st59b}技能{nl}{@st59s} - 各階級別技能最多可增加5級。{nl} - 跟大師學習的特性可在技能下方進行確認。{/}
UI_20150317_000650	{@st41b}套用{/}
UI_20150317_000651	{@st59}套用技能點數{/}
UI_20150317_000652	큘레릭
UI_20150317_000653	{@st59}取消點數分配{/}
UI_20150317_000654	{#ff4400}%s (%s等級){/} 學習中..
UI_20150317_000655	싸이코해승
UI_20150317_000656	剩餘%s分
UI_20150317_000657	{@st43}姿勢{/}
UI_20150317_000658	{@st59}關閉姿勢{/}
UI_20150317_000659	{@st41}佈告欄{/}
UI_20150317_000660	{@st41}交易{/}
UI_20150317_000661	{@st41}社會功能{/}
UI_20150317_000662	{@st41b}寫作{/}
UI_20150317_000663	{@st41}登錄{/}
UI_20150317_000664	{@st59}登錄文字{/}
UI_20150317_000665	{@st41}開始我的頁面{/}
UI_20150317_000666	{@st59}我的頁面對外公布{/}
UI_20150317_000667	{@st59}登錄問候{/}
UI_20150317_000668	{@st41b}1. 選單{/}
UI_20150317_000669	{@st41}造訪{/}
UI_20150317_000670	{@st59}造訪我的頁面{/}
UI_20150317_000671	{@st41}販賣{/}
UI_20150317_000672	{@st59}販賣道具{/}
UI_20150317_000673	{@st43}生活{/}
UI_20150317_000674	{@st59}關閉生活{/}
UI_20150317_000675	{@st41}顯示全部{/}
UI_20150317_000676	{@st41}製作地圖{/}
UI_20150317_000677	{@st41}%s/分 (%s 保有){/}
UI_20150317_000678	鍵盤戰士
UI_20150317_000679	{@st42}%s{/}{@st42_yellow}等級{/}
UI_20150317_000680	{@st41_yellow}雇用時間
UI_20150317_000681	{@st43}塗鴉{/}
UI_20150317_000682	{@st59}關閉噴槍{/}
UI_20150317_000683	{@st41b}Tip：在下面畫框內繪圖。{/}
UI_20150317_000684	{@st41b}顏色{/}
UI_20150317_000685	{@st41b}數量{/}
UI_20150317_000686	{@st41b}筆刷{/}
UI_20150317_000687	{@st43}繪圖{/}
UI_20150317_000688	{@st59}在地下畫完成的圖畫。{/}
UI_20150317_000689	{@st41b}{a SAVE_EDIT_SPRAY}儲存{/}{/}
UI_20150317_000690	{@st59}然後儲存存在的圖畫。{/}
UI_20150317_000691	{@st41b}{a LOAD_EDIT_SPRAY}開啟{/}{/}
UI_20150317_000692	{@st59}開啟畫過的圖畫。{/}
UI_20150317_000693	{@st59}選擇的顏色1{/}
UI_20150317_000694	{@st59}選擇的顏色2{/}
UI_20150317_000695	{@st59}顏色目錄{/}
UI_20150317_000696	{@st59}選擇的筆刷{/}
UI_20150317_000697	{@st59}筆刷 1{/}
UI_20150317_000698	{@st59}筆刷 2{/}
UI_20150317_000699	{@st59}筆刷 3{/}
UI_20150317_000700	{@st59}筆刷 4{/}
UI_20150317_000701	{@st59}筆刷 5{/}
UI_20150317_000702	{@st59}筆刷 6{/}
UI_20150317_000703	{@st49}喜歡的人們{/}
UI_20150317_000704	{s20}{#050505}不管變成什麼 說明
UI_20150317_000705	{@st41} 全體 {/}
UI_20150317_000706	{@st41} 組隊 {/}
UI_20150317_000707	{@st41} 怪物 {/}
UI_20150317_000708	{@st41b}{#f0dcaa}剩餘的狀態點數 ▶ {@st46}%s
UI_20150317_000709	{@st59b}我的情報{nl}{@st59s} - 狀態點數：升級時所獲得的點數，可以用來強化5種能力。{nl} - 情報：根據道具及狀態能力值而顯示的角色能力值情報。{nl} - 稱號：完成成就時可獲得的稱號。{nl}{/}
UI_20150317_000710	{@st41b}情報{/}
UI_20150317_000711	{@st41b}稱號{/}
UI_20150317_000712	顯示職業
UI_20150317_000713	顯示角色名稱
UI_20150317_000714	{@st59}修正角色名稱。{/}
UI_20150317_000715	{@st41b}套用
UI_20150317_000716	{@st59}套用狀態點數分配。{/}
UI_20150317_000717	{@st41b}取消
UI_20150317_000718	{@st59}取消狀態點數分配。{/}
UI_20150317_000719	PC名稱
UI_20150317_000720	{@st41_yellow}等級：{@st41}%s{/}
UI_20150317_000721	{@st41_yellow}傭兵技能
UI_20150317_000722	{@st43}攻擊效果{/}
UI_20150317_000723	{@st43}防禦效果{/}
UI_20150317_000724	{@st43}能力值{/}
UI_20150317_000725	systemmenu_vertical 暫時移除
UI_20150317_000726	{@st59}角色情報 (F1){/}
UI_20150317_000727	{@st59}物品欄 (F2){/}
UI_20150317_000728	{@st59}職業和技能 (F3){/}
UI_20150317_000729	{@st59}冒險日誌 (F4){/}
UI_20150317_000730	{@st59}任務 (F5){/}
UI_20150317_000731	{@st59}組隊 (F6){/}
UI_20150317_000732	{@st59}好友 (F7){/}
UI_20150317_000733	{@st59}指令 (F8){/}
UI_20150317_000734	{@st59}寵物 (F9){/}
UI_20150317_000735	{@st59}小幫手 (F10){/}
UI_20150317_000736	{@st59}系統選單 (Esc){/}
UI_20150317_000737	{@st59}死靈之書{/}
UI_20150317_000738	小幫手(F1)
UI_20150317_000739	內容
UI_20150317_000740	詳細查看
UI_20150317_000741	{@st43}遊戲設定{/}
UI_20150317_000742	{@st43}遊戲{/}
UI_20150317_000743	{@st41b}顯示經驗值獲得量{/}
UI_20150317_000744	{@st41b}顯示角色名稱{/}
UI_20150317_000745	{@st41b}只顯示隊伍名稱{/}
UI_20150317_000746	{@st41b}顯示任務指示箭頭{/}
UI_20150317_000747	{@st43}畫面{/}
UI_20150317_000748	{@st43}解析度{/}
UI_20150317_000749	{@st41b}全螢幕{/}
UI_20150317_000750	{@st41b}視窗模式{/}
UI_20150317_000751	{@st43}聲音{/}
UI_20150317_000752	{@st41b}效果音音量 (%s){/}
UI_20150317_000753	{@st41b}音樂音量 (%s){/}
UI_20150317_000754	{@st41b}整體聲音音量 (%s){/}
UI_20150317_000755	{@st43}選擇語言{/}
UI_20150317_000756	{@st59}關閉遊戲設定視窗。{/}
UI_20150317_000757	{@st41b}最低配備模式{/}
UI_20150317_000758	{@st41b}查看{/}
UI_20150317_000759	{@st59}製作團隊{/}
UI_20150317_000760	目標BUFF視窗
UI_20150317_000761	{@st46}IMC的圖畫
UI_20150317_000762	{@st46}%s的圖畫
UI_20150317_000763	{@st46}讚
UI_20150317_000764	{@st46}檢舉
UI_20150317_000765	{@st46}使用保存劑
UI_20150317_000766	{@st46}移除圖畫
UI_20150317_000767	Snow Halation
UI_20150317_000768	花束
UI_20150317_000769	{@st41}禮物
UI_20150317_000770	請輸入數量。
UI_20150317_000771	{@st53b}%s 勝 %s 敗
UI_20150317_000772	{@st42}今天的行程
UI_20150317_000773	{@st53}開始為止：
UI_20150317_000774	{@st53b}獲得禮物：%s個
UI_20150317_000775	送{@st43b}%s禮物{/}
UI_20150317_000776	{@st55_a}下個比賽
UI_20150317_000777	{@st53}- 點擊名稱可進行觀戰。{nl}- 右點擊可送禮。
UI_20150317_000778	我的角色為相機角度
UI_20150317_000779	{@st55_a}恭禧獲勝！
UI_20150317_000780	{@st42}轉換相機角度
UI_20150317_000781	{@st44}冒險日誌{/}
UI_20150317_000782	{@st59}變更顯示方式。{/}
UI_20150317_000783	{@st41} 統計 {/}
UI_20150317_000784	{@st41} 製造 {/}
UI_20150317_000785	{@st41} 狩獵 {/}
UI_20150317_000786	{@st41} 小幫手 {/}
UI_20150317_000787	{@st44}維基百科{/}
UI_20150317_000788	{@st42}情報{/}
UI_20150317_000789	{@st42}詳細{/}
UI_20150317_000790	{@st42}戰鬥{/}
UI_20150317_000791	{@st42}獲得{/}
UI_20150317_000792	{@st59}關閉頁面。{/}
UI_20150317_000793	{@st43}戰場
UI_20150317_000794	{@st59}關閉戰場。
UI_20150317_000795	(青銅 3)
UI_20150317_000796	{@sti8}今日可獲得點數：{nl}%s{/}
UI_20150317_000797	{@st41}點數商店
UI_20150317_000798	{@st41}排行榜
UI_20150317_000799	{@st42}戰場日程
UI_20150317_000800	{@st42}最近戰績
UI_20150317_000801	{@st41}獲得經驗值
UI_20150317_000802	{@st41}PVP頁面
UI_20150317_000803	{@st41}檢索
UI_20150317_000804	{@st43}戰場排行
UI_20150317_000805	{@st59}關閉戰鬥野外排名。
UI_20150317_000806	{@st56}技能名稱{/}
UI_20150317_000807	{@st41}確認座標{/}
UI_20150317_000808	{@st41}前往{/}
UI_20150317_000809	{@st42b}怪物重生管理{/}
UI_20150317_000810	{@st42b}怪物清單{/}
UI_20150317_000811	{@st42b}UI 製作{/}
UI_20150317_000812	{@st42b}地圖霧化{/}
UI_20150317_000813	{@st42b}地圖製作{/}
UI_20150317_000814	{@st42b}迷你地圖製作{/}
UI_20150317_000815	{@st42b}對話 {/}
UI_20150317_000816	{@st42b}修正任務獎勵{/}
UI_20150317_000817	{@st42b}團體恢復{/}
UI_20150317_000818	{@st42b}指定地圖位置{/}
UI_20150317_000819	{@st42b}技能地圖{/}
UI_20150317_000820	{@st42b}活動目錄{/}
UI_20150317_000821	{@st42b}確認座標{/}
UI_20150317_000822	{@st42b}XAC,texture 路徑確認{/}
UI_20150317_000823	{@st42b}performance ONOFF{/}
UI_20150317_000824	台詞清單
UI_20150317_000825	檢索.
UI_20150317_000826	{@st41}預覽{/}
UI_20150317_000827	{@st41}關閉{/}
UI_20150317_000828	{@st41}移除{/}
UI_20150317_000829	{@st41}全部儲存{/}
UI_20150317_000830	{@st41}套用圖片{/}
UI_20150317_000831	 {#FFFFFF}{ds}選擇活動
UI_20150317_000832	 {#FFFFFF}{ds}編輯活動
UI_20150317_000833	{ol}清單
UI_20150317_000834	要儲存的群組名稱
UI_20150317_000835	{@st42}重新建立{/}
UI_20150317_000836	{@st41}團體恢復{/}
UI_20150317_000837	{@st59}輸入要檢索的怪物名稱。{/}
UI_20150317_000838	{@st59}輸入要儲存的群組名稱。{/}
UI_20150317_000839	{@st41}新群組{/}
UI_20150317_000840	filtering
UI_20150317_000841	{@st59}輸入filter{/}
UI_20150317_000842	{ol}屬性值
UI_20150317_000843	職業清單
UI_20150317_000844	套用於XML
UI_20150317_000845	 {#FFFFFF}{ds}log
UI_20150317_000846	 {#FFFFFF}{ds}查看所有屬性 
UI_20150317_000847	輸入檢索語。
UI_20150317_000848	所有屬性值
UI_20150317_000849	{ol}名稱
UI_20150317_000850	{ol}值
UI_20150317_000851	log
UI_20150317_000852	{ol}revision
UI_20150317_000853	{ol}log
UI_20150317_000854	職業清單
UI_20150317_000855	XML變換
UI_20150317_000856	{ol}職業名稱
UI_20150317_000857	{ol}屬性名稱
UI_20150317_000858	{ol}變更值
UI_20150317_000859	{ol}反映
UI_20150317_000860	開啟資料夾
UI_20150317_000861	全部確認
UI_20150317_000862	歷史記錄
UI_20150317_000863	值回溯
UI_20150317_000864	{ol}選擇道具
UI_20150317_000865	輸入要檢索的名稱。
UI_20150317_000866	{@st42}確認{/}
UI_20150317_000867	{@st41}UI 製作{/}
UI_20150317_000868	{ol}frame
UI_20150317_000869	{@st41}frame{/}
UI_20150317_000870	{@st41}按鍵{/}
UI_20150317_000871	{@st41}文本{/}
UI_20150317_000872	{@st42b}一般{img btn_close}
UI_20150317_000873	{@st42b}拍賣{img btn_close}
UI_20150317_000874	{@st41}指定地圖位置{/}
UI_20150317_000875	{@st41}變更名稱{/}
UI_20150317_000876	{@st59}輸入要過濾的內容。{/}
UI_20150317_000877	{@st41}建立{/}
UI_20150317_000878	{@st56}XML儲存{/}
UI_20150317_000879	{@st56}初始化{/}
UI_20150317_000880	{@st56}屬性{/}
UI_20150317_000881	{@st56}值{/}
UI_20150317_000882	{@st42}內容{/}
UI_20150317_000883	{@st41}恢復{/}
UI_20150317_000884	{@st41}全部儲存{/}
UI_20150317_000885	{@st41}開啟XML{/}
UI_20150317_000886	{@st42b}固定技能：0{/}
UI_20150317_000887	{@st42b}固定技能：%s{/}
UI_20150317_000888	{@st42b}滑鼠自動導航{/}
UI_20150317_000889	{@st42b}技能名稱{/}
UI_20150317_000890	{@st41}怪物清單{/}
UI_20150317_000891	{@st41}performance管理{/}
UI_20150317_000892	{ol}選擇任務
UI_20150317_000893	輸入要檢索的任務名稱。
UI_20150317_000894	{ol}選擇地圖
UI_20150317_000895	輸入要檢索的地圖名稱。
UI_20150317_000896	{@st42}目前地圖{/}
UI_20150317_000897	{ol}地圖名稱
UI_20150317_000898	{ol}座標
UI_20150317_000899	{@st41}修正任務獎勵{/}
UI_20150317_000900	{@st59}輸入要檢索的任務。{/}
UI_20150317_000901	{@st59}輸入要檢索的道具。{/}
UI_20150317_000902	{@st42}經驗值
UI_20150317_000903	{ol}基本獎勵
UI_20150317_000904	{ol}數量
UI_20150317_000905	{ol}追加獎勵
UI_20150317_000906	{@st45}經常使用的指令
UI_20150317_000907	{@st41}技能地圖{/}
UI_20150317_000908	{@st42}能力{/}
UI_20150317_000909	{@st42}劍士{/}
UI_20150317_000910	{@st42}法師{/}
UI_20150317_000911	{@st42}弓箭手{/}
UI_20150317_000912	{@st42}武僧{/}
UI_20150317_000913	{@st42}巫師{/}
UI_20150317_000914	{@st41}스킬반{/}
UI_20150317_000915	{@st59}xml load{/}
UI_20150317_000916	{@st41}開啟{/}
UI_20150317_000917	{@st59}存成xml{/}
